model,year,transmission,mileage,fuelType,tax,mpg,engineSize,make,price
A Class,2019,Semi-Auto,10859,Diesel,145.0,65.7,1.5,mercedes,20480
3 Series,2017,Automatic,58080,Hybrid,0.0,134.5,2.0,bmw,17498
Corsa,2019,Manual,1757,Petrol,145.0,43.5,1.4,vauxhall,10699
B Class,2015,Semi-Auto,13008,Diesel,20.0,68.9,2.1,mercedes,13250
GLA Class,2016,Manual,59865,Diesel,30.0,64.2,2.1,mercedes,14400
C Class,2019,Semi-Auto,14354,Petrol,145.0,46.3,1.5,mercedes,20299
Focus,2017,Manual,8600,Petrol,,,1.0,ford,12199
C Class,2019,Semi-Auto,5071,Diesel,145.0,55.4,2.0,mercedes,29549
E Class,2016,Semi-Auto,26707,Diesel,145.0,54.3,3.0,mercedes,20298
Passat,2020,Manual,2500,Diesel,145.0,55.4,2.0,vw,24490
Yaris,2018,Manual,20559,Petrol,150.0,58.9,1.5,toyota,9950
Insignia,2019,Manual,9795,Petrol,145.0,50.4,1.5,vauxhall,14998
Tucson,2017,Manual,27191,Diesel,30.0,61.7,1.7,hyundai,13500
Mokka X,2019,Manual,3785,Petrol,150.0,47.1,1.4,vauxhall,13498
Yeti Outdoor,2014,Semi-Auto,53164,Diesel,200.0,44.8,2.0,skoda,10770
B Class,2019,Semi-Auto,11748,Petrol,145.0,45.6,1.3,mercedes,21980
Astra,2017,Manual,29201,Petrol,150.0,51.4,1.4,vauxhall,9490
Golf,2019,Manual,2942,Petrol,145.0,37.2,2.0,vw,24490
Focus,2013,Manual,38537,Diesel,,,1.6,ford,7495
Mondeo,2015,Manual,130000,Diesel,20.0,68.9,2.0,ford,6893
A1,2015,Manual,26549,Petrol,0.0,67.3,1.0,audi,10170
Yaris,2017,Manual,10360,Petrol,30.0,55.0,1.3,toyota,10495
3 Series,2017,Automatic,22300,Diesel,205.0,49.6,3.0,bmw,26995
C Class,2016,Semi-Auto,20801,Diesel,30.0,64.2,2.1,mercedes,21999
3 Series,2014,Semi-Auto,45212,Diesel,150.0,54.3,3.0,bmw,15690
C Class,2017,Automatic,49859,Hybrid,135.0,78.5,2.1,mercedes,17999
Viva,2018,Manual,13000,Petrol,145.0,60.1,1.0,vauxhall,7899
Arteon,2019,Semi-Auto,5101,Diesel,145.0,50.4,2.0,vw,26090
S8,2015,Automatic,25500,Petrol,305.0,30.1,4.0,audi,31250
C Class,2013,Automatic,69900,Diesel,,,2.1,mercedes,11499
I10,2016,Manual,44965,Petrol,30.0,57.6,1.2,hyundai,5722
Fabia,2018,Manual,9861,Petrol,145.0,57.7,1.0,skoda,9298
Meriva,2016,Automatic,18272,Petrol,235.0,39.8,1.4,vauxhall,8995
Kona,2019,Manual,6280,Petrol,145.0,44.1,1.0,hyundai,14195
Astra,2016,Manual,32619,Diesel,0.0,78.5,1.6,vauxhall,7999
CC,2013,Manual,74000,Diesel,30.0,60.1,2.0,vw,7990
A3,2017,Manual,31585,Petrol,145.0,60.1,1.0,audi,12975
C Class,2016,Semi-Auto,39656,Diesel,20.0,65.7,2.1,mercedes,15220
Fiesta,2015,Manual,33373,Petrol,30.0,54.3,1.2,ford,6395
Focus,2014,Manual,23000,Petrol,,,2.0,ford,11607
Fiesta,2019,Manual,90,Petrol,145.0,58.9,1.0,ford,12600
Focus,2017,Manual,26476,Petrol,150.0,60.1,1.0,ford,11600
Fiesta,2017,Manual,22578,Petrol,145.0,65.7,1.0,ford,10500
Fabia,2019,Semi-Auto,132,Petrol,150.0,61.4,1.0,skoda,14999
Fiesta,2015,Manual,20430,Petrol,20.0,62.8,1.0,ford,9098
A6,2019,Automatic,9534,Diesel,145.0,50.4,2.0,audi,27750
Adam,2018,Manual,18000,Petrol,145.0,53.3,1.2,vauxhall,7990
Grandland X,2019,Manual,4500,Petrol,150.0,44.1,1.2,vauxhall,19839
C Class,2019,Semi-Auto,9000,Diesel,145.0,54.3,2.0,mercedes,33149
E Class,2017,Semi-Auto,16910,Diesel,145.0,65.7,2.0,mercedes,22998
Fiesta,2018,Manual,6720,Petrol,150.0,40.3,1.5,ford,17250
Focus,2018,Manual,9758,Petrol,145.0,41.5,2.0,ford,19500
A5,2019,Automatic,3010,Petrol,145.0,40.4,2.0,audi,26000
Crossland X,2019,Manual,10,Diesel,145.0,61.4,1.5,vauxhall,17500
3 Series,2017,Automatic,66743,Diesel,30.0,67.3,2.0,bmw,12600
A Class,2019,Automatic,15047,Diesel,145.0,68.9,1.5,mercedes,19245
Octavia,2016,Semi-Auto,14400,Petrol,30.0,58.9,1.4,skoda,12990
C Class,2012,Automatic,60586,Diesel,145.0,56.5,2.1,mercedes,9124
Tiguan,2015,Automatic,55287,Diesel,160.0,49.6,2.0,vw,13999
Kamiq,2019,Semi-Auto,2687,Petrol,145.0,44.1,1.5,skoda,18995
Polo,2019,Manual,1130,Petrol,145.0,52.3,1.0,vw,13500
I10,2009,Manual,83677,Petrol,30.0,56.5,1.2,hyundai,2495
GLC Class,2017,Automatic,36061,Diesel,145.0,56.5,2.1,mercedes,27495
Polo,2016,Manual,17464,Petrol,20.0,60.1,1.2,vw,9490
Kuga,2017,Manual,18293,Diesel,145.0,60.1,2.0,ford,16700
V Class,2018,Manual,26140,Diesel,145.0,46.3,2.1,mercedes,19998
E Class,2016,Semi-Auto,26780,Diesel,160.0,52.3,3.0,mercedes,19298
3 Series,2020,Semi-Auto,2000,Diesel,145.0,47.9,3.0,bmw,40000
Kuga,2016,Automatic,6446,Petrol,240.0,38.2,1.5,ford,15991
A3,2015,Manual,43601,Diesel,20.0,67.3,2.0,audi,15990
E Class,2017,Semi-Auto,31817,Diesel,30.0,65.7,2.0,mercedes,19699
Focus,2014,Manual,56557,Diesel,,,1.6,ford,6590
Corsa,2016,Manual,18000,Petrol,30.0,55.4,1.4,vauxhall,6999
RAV4,2012,Manual,74510,Diesel,205.0,47.1,2.2,toyota,6980
Fiesta,2017,Manual,26740,Diesel,145.0,85.6,1.5,ford,8999
Kuga,2015,Manual,33542,Diesel,150.0,54.3,2.0,ford,13991
C Class,2019,Semi-Auto,7000,Diesel,145.0,57.7,2.0,mercedes,31500
Focus,2018,Semi-Auto,12619,Petrol,,,1.0,ford,13498
Citigo,2017,Manual,7498,Petrol,145.0,64.2,1.0,skoda,6990
Auris,2014,Manual,32907,Petrol,145.0,46.3,1.6,toyota,7998
C Class,2019,Semi-Auto,3000,Petrol,145.0,45.6,1.5,mercedes,25389
1 Series,2016,Manual,12670,Diesel,20.0,70.6,1.5,bmw,14017
Focus,2018,Manual,9577,Diesel,145.0,74.3,1.5,ford,16999
A4,2017,Semi-Auto,31834,Diesel,30.0,65.7,2.0,audi,21500
Focus,2017,Manual,28333,Petrol,,,1.0,ford,11799
Superb,2016,Semi-Auto,33638,Diesel,125.0,61.4,2.0,skoda,14498
Scirocco,2011,Manual,80000,Diesel,30.0,62.8,2.0,vw,6975
Mokka X,2017,Manual,6338,Petrol,200.0,42.2,1.6,vauxhall,12500
E Class,2019,Semi-Auto,9401,Diesel,145.0,72.4,2.0,mercedes,26099
Mokka X,2017,Semi-Auto,8588,Petrol,145.0,43.5,1.4,vauxhall,13994
Mokka,2013,Manual,70671,Diesel,125.0,57.6,1.7,vauxhall,6490
A Class,2020,Semi-Auto,1000,Petrol,145.0,53.3,1.3,mercedes,25879
T-Roc,2020,Semi-Auto,3000,Petrol,145.0,39.8,1.5,vw,27499
KA,2013,Manual,32966,Petrol,30.0,57.7,1.2,ford,3999
Galaxy,2016,Manual,53164,Diesel,125.0,56.5,2.0,ford,15780
C Class,2017,Semi-Auto,26675,Diesel,145.0,58.9,2.1,mercedes,20990
Fiesta,2018,Manual,11625,Petrol,145.0,65.7,1.0,ford,9450
Aygo,2015,Manual,41700,Petrol,0.0,69.0,1.0,toyota,5050
Focus,2019,Manual,5013,Petrol,145.0,60.1,1.0,ford,17299
Kuga,2017,Manual,24401,Diesel,30.0,64.2,1.5,ford,12500
Corsa,2016,Manual,42140,Petrol,30.0,54.3,1.4,vauxhall,6295
C Class,2017,Semi-Auto,13881,Diesel,,,2.1,mercedes,17981
Auris,2017,Manual,24740,Petrol,145.0,58.9,1.2,toyota,10985
Tucson,2017,Manual,62308,Diesel,125.0,58.9,2.0,hyundai,13056
Q3,2015,Manual,37182,Diesel,160.0,49.6,2.0,audi,16450
T-Cross,2020,Automatic,1155,Petrol,145.0,45.6,1.0,vw,23500
Q3,2019,Automatic,5000,Diesel,145.0,48.7,2.0,audi,26700
Mokka,2015,Manual,31069,Diesel,30.0,62.8,1.7,vauxhall,8499
Astra,2017,Manual,12423,Petrol,145.0,51.4,1.4,vauxhall,10491
Polo,2019,Semi-Auto,7701,Petrol,145.0,45.6,1.0,vw,14860
E Class,2013,Semi-Auto,69900,Diesel,200.0,45.6,3.0,mercedes,13995
Karoq,2018,Automatic,18635,Petrol,150.0,50.4,1.5,skoda,19990
E Class,2017,Semi-Auto,40690,Diesel,145.0,54.3,3.0,mercedes,21602
A1,2014,Manual,27260,Petrol,125.0,52.3,1.4,audi,9782
3 Series,2019,Semi-Auto,11748,Petrol,150.0,47.9,2.0,bmw,23991
KA,2016,Manual,17081,Petrol,30.0,57.7,1.2,ford,5990
Polo,2016,Manual,15234,Petrol,20.0,60.1,1.2,vw,9890
Tucson,2019,Semi-Auto,15511,Petrol,150.0,35.8,1.6,hyundai,22495
Golf,2019,Automatic,9047,Diesel,145.0,52.3,2.0,vw,22491
GLC Class,2016,Automatic,51093,Diesel,125.0,56.5,2.1,mercedes,21000
Q2,2017,Manual,13272,Diesel,145.0,64.2,1.6,audi,17000
Fabia,2017,Manual,23094,Petrol,20.0,60.1,1.2,skoda,8995
Focus,2017,Manual,17339,Petrol,,,1.0,ford,11000
Kuga,2017,Manual,42744,Diesel,145.0,60.1,2.0,ford,13500
GLE Class,2016,Automatic,27700,Diesel,200.0,47.9,2.1,mercedes,29995
Corsa,2018,Manual,11708,Petrol,145.0,43.5,1.4,vauxhall,9250
Fabia,2018,Manual,5965,Petrol,145.0,64.2,1.0,skoda,10000
Crossland X,2019,Manual,1429,Diesel,145.0,60.1,1.5,vauxhall,14990
Fiesta,2015,Manual,27541,Petrol,0.0,65.7,1.0,ford,7895
Up,2017,Manual,14291,Petrol,20.0,64.2,1.0,vw,7295
Tiguan,2014,Automatic,45000,Diesel,200.0,47.7,2.0,vw,11650
A3,2019,Automatic,6000,Diesel,145.0,52.3,1.6,audi,26663
GLC Class,2019,Semi-Auto,13075,Diesel,145.0,40.4,2.0,mercedes,43499
GLC Class,2019,Semi-Auto,13427,Diesel,145.0,56.5,2.1,mercedes,29849
Focus,2017,Manual,14301,Petrol,,,1.0,ford,10950
C Class,2013,Semi-Auto,33925,Petrol,160.0,44.8,1.6,mercedes,11900
Kuga,2017,Semi-Auto,16414,Diesel,150.0,54.3,2.0,ford,15980
Focus,2015,Manual,32000,Petrol,20.0,61.4,1.0,ford,8474
Focus,2020,Manual,1501,Diesel,145.0,80.7,1.5,ford,20999
Meriva,2015,Automatic,10260,Petrol,235.0,39.8,1.4,vauxhall,8500
C Class,2018,Semi-Auto,9290,Petrol,145.0,36.2,3.0,mercedes,33890
Focus,2017,Manual,35629,Petrol,,,1.0,ford,10750
Yaris,2017,Automatic,24683,Hybrid,135.0,76.3,1.5,toyota,12795
C-MAX,2018,Automatic,7740,Diesel,145.0,56.5,1.5,ford,13090
I30,2018,Semi-Auto,28851,Petrol,150.0,51.4,1.4,hyundai,12790
3 Series,2019,Semi-Auto,20671,Petrol,150.0,51.4,1.5,bmw,17480
Q7,2016,Automatic,53000,Diesel,200.0,47.9,3.0,audi,28990
E Class,2015,Automatic,41952,Diesel,30.0,64.2,2.1,mercedes,13750
A1,2015,Manual,17152,Petrol,30.0,56.5,1.4,audi,13495
EcoSport,2015,Manual,36384,Petrol,125.0,53.3,1.0,ford,7999
Viva,2016,Manual,23258,Petrol,20.0,62.8,1.0,vauxhall,6160
Aygo,2014,Manual,69691,Petrol,0.0,69.0,1.0,toyota,5995
M4,2018,Semi-Auto,7732,Petrol,145.0,34.0,3.0,bmw,36498
Focus,2019,Manual,4393,Diesel,145.0,80.7,1.5,ford,14200
Yaris,2019,Manual,6043,Petrol,145.0,47.9,1.5,toyota,12295
A Class,2017,Semi-Auto,9872,Petrol,145.0,40.9,2.0,mercedes,31342
C Class,2018,Automatic,17250,Petrol,150.0,46.3,1.5,mercedes,26000
Focus,2019,Manual,14074,Diesel,145.0,61.4,1.5,ford,17498
Caravelle,2015,Automatic,68443,Diesel,300.0,37.2,2.0,vw,25990
Focus,2015,Manual,45566,Diesel,0.0,74.3,1.5,ford,8000
C-MAX,2018,Manual,12073,Petrol,150.0,48.7,1.0,ford,13000
Focus,2017,Manual,30801,Diesel,,,2.0,ford,15500
Tiguan,2016,Manual,62000,Diesel,125.0,58.9,2.0,vw,14590
A Class,2019,Semi-Auto,18588,Diesel,145.0,65.7,1.5,mercedes,18499
Tiguan,2016,Manual,27288,Diesel,125.0,58.9,2.0,vw,17999
Corsa,2019,Manual,100,Petrol,145.0,44.8,1.4,vauxhall,11157
Yeti,2016,Semi-Auto,35843,Diesel,160.0,51.4,2.0,skoda,14499
Yaris,2017,Automatic,36167,Hybrid,0.0,86.0,1.5,toyota,11500
E Class,2019,Semi-Auto,14031,Diesel,145.0,48.7,3.0,mercedes,37299
A Class,2014,Automatic,68184,Petrol,145.0,50.4,1.6,mercedes,11019
Golf,2019,Semi-Auto,2588,Petrol,145.0,43.5,1.5,vw,21699
CL Class,2017,Semi-Auto,21831,Petrol,145.0,40.9,2.0,mercedes,30980
Aygo,2016,Manual,17059,Petrol,0.0,69.0,1.0,toyota,6595
Polo,2017,Manual,38126,Petrol,145.0,60.1,1.2,vw,9799
X2,2018,Semi-Auto,21150,Petrol,145.0,38.7,2.0,bmw,22898
i3,2017,Automatic,29851,Hybrid,0.0,470.8,0.0,bmw,19895
Fabia,2019,Manual,13239,Petrol,150.0,57.7,1.0,skoda,10000
Focus,2018,Manual,12449,Petrol,145.0,57.7,1.0,ford,13995
Q3,2019,Automatic,1000,Petrol,145.0,31.4,2.0,audi,39945
1 Series,2020,Semi-Auto,100,Diesel,145.0,51.4,2.0,bmw,27950
E Class,2018,Semi-Auto,14288,Diesel,145.0,70.6,2.0,mercedes,27786
Focus,2017,Manual,13318,Petrol,,,1.0,ford,12000
Karoq,2018,Manual,12118,Petrol,150.0,52.3,1.5,skoda,19585
I10,2018,Manual,22089,Petrol,145.0,60.1,1.0,hyundai,7995
Tiguan,2017,Manual,34026,Diesel,145.0,58.9,2.0,vw,15895
C Class,2019,Semi-Auto,4000,Petrol,,,1.5,mercedes,28700
C Class,2018,Automatic,38169,Diesel,,,2.1,mercedes,17999
Focus,2019,Manual,8864,Diesel,,,2.0,ford,19665
Kadjar,2019,Manual,15101,Petrol,145.0,42.16,1.3,vauxhall,15100
Fiesta,2009,Manual,61171,Petrol,145.0,49.6,1.2,ford,3895
Astra,2018,Manual,20054,Petrol,145.0,49.6,1.4,vauxhall,10725
GLE Class,2019,Semi-Auto,9840,Diesel,145.0,36.7,3.0,mercedes,47300
Tiguan,2018,Manual,30039,Diesel,150.0,58.9,2.0,vw,17295
C Class,2017,Automatic,18000,Diesel,,,2.1,mercedes,20990
Q3,2019,Semi-Auto,3669,Petrol,145.0,32.1,2.0,audi,32750
Corsa,2019,Manual,8309,Petrol,150.0,44.8,1.4,vauxhall,10998
Focus,2017,Manual,17753,Petrol,20.0,60.1,1.0,ford,10000
Viva,2017,Manual,15170,Petrol,145.0,61.4,1.0,vauxhall,6470
X5,2019,Semi-Auto,9173,Diesel,150.0,37.7,3.0,bmw,49980
Kuga,2013,Manual,63508,Diesel,145.0,53.3,2.0,ford,8298
Fiesta,2019,Manual,8512,Petrol,145.0,60.1,1.0,ford,15490
2 Series,2019,Semi-Auto,6418,Petrol,145.0,47.9,2.0,bmw,20950
X3,2020,Semi-Auto,500,Diesel,145.0,54.3,2.0,bmw,39993
E Class,2017,Semi-Auto,37509,Diesel,30.0,61.4,2.0,mercedes,19500
Fiesta,2015,Semi-Auto,23459,Petrol,145.0,47.9,1.6,ford,8700
C Class,2019,Automatic,5669,Diesel,,,2.0,mercedes,29880
Crossland X,2019,Manual,5453,Diesel,145.0,60.1,1.5,vauxhall,16385
Arteon,2019,Semi-Auto,6987,Petrol,145.0,47.1,2.0,vw,27491
Kuga,2017,Manual,15210,Diesel,150.0,54.3,2.0,ford,18200
Fiesta,2018,Manual,8816,Petrol,150.0,56.5,1.0,ford,12500
A6,2016,Semi-Auto,30450,Diesel,30.0,61.4,3.0,audi,22900
A4,2019,Automatic,5000,Diesel,145.0,39.2,3.0,audi,45990
Superb,2012,Automatic,85000,Petrol,240.0,38.7,1.8,skoda,5740
A3,2016,Manual,26500,Petrol,30.0,56.5,1.2,audi,14000
A3,2017,Automatic,28831,Diesel,145.0,70.6,1.6,audi,14250
Tucson,2017,Semi-Auto,47028,Diesel,125.0,57.6,1.7,hyundai,14985
Golf,2019,Manual,11217,Petrol,145.0,47.1,1.5,vw,17298
Focus,2017,Manual,13861,Petrol,145.0,60.1,1.0,ford,9998
1 Series,2015,Semi-Auto,67500,Diesel,20.0,67.3,2.0,bmw,11950
Q3,2016,Semi-Auto,16021,Diesel,160.0,50.4,2.0,audi,19298
6 Series,2016,Automatic,62156,Diesel,200.0,49.6,3.0,bmw,17490
C Class,2019,Automatic,1196,Petrol,145.0,46.3,1.5,mercedes,27000
Fiesta,2017,Manual,14294,Petrol,145.0,47.9,1.6,ford,13991
RAV4,2016,Manual,37849,Diesel,125.0,60.1,2.0,toyota,13790
Corsa,2018,Manual,18417,Petrol,145.0,55.4,1.4,vauxhall,8100
C Class,2019,Automatic,8000,Petrol,145.0,46.3,1.5,mercedes,30900
Focus,2019,Manual,12030,Petrol,145.0,60.1,1.0,ford,17289
Golf,2019,Semi-Auto,5224,Diesel,145.0,52.3,2.0,vw,19441
CL Class,2018,Automatic,7500,Petrol,145.0,44.1,1.6,mercedes,24991
Passat,2016,Semi-Auto,17457,Diesel,30.0,60.1,2.0,vw,15495
Up,2017,Manual,15974,Petrol,150.0,64.2,1.0,vw,7999
Q2,2020,Manual,1276,Petrol,145.0,44.8,1.5,audi,23481
Golf,2018,Semi-Auto,17555,Petrol,150.0,55.4,1.4,vw,16290
1 Series,2016,Automatic,19277,Diesel,30.0,62.8,2.0,bmw,13600
2 Series,2020,Semi-Auto,1550,Petrol,145.0,38.7,1.5,bmw,22980
3 Series,2017,Semi-Auto,27225,Diesel,30.0,62.8,2.0,bmw,19702
I20,2017,Manual,18281,Petrol,30.0,55.4,1.2,hyundai,8500
Crossland X,2020,Manual,100,Petrol,145.0,47.1,1.2,vauxhall,13690
Focus,2016,Manual,20786,Petrol,,,1.0,ford,9698
Tucson,2018,Semi-Auto,34362,Diesel,145.0,57.7,1.7,hyundai,16900
Up,2019,Manual,3000,Petrol,145.0,54.3,1.0,vw,8510
KA,2014,Manual,21200,Petrol,30.0,57.7,1.2,ford,5499
Focus,2013,Manual,75032,Petrol,20.0,58.9,1.0,ford,5997
A1,2015,Manual,52319,Diesel,0.0,80.7,1.6,audi,9199
3 Series,2016,Automatic,14209,Diesel,0.0,74.3,2.0,bmw,14761
3 Series,2019,Semi-Auto,296,Diesel,145.0,49.6,2.0,bmw,33994
A4,2018,Manual,13972,Petrol,145.0,52.3,1.4,audi,17298
EcoSport,2017,Manual,32764,Diesel,30.0,64.2,1.5,ford,9995
C Class,2020,Semi-Auto,16,Diesel,145.0,61.4,2.0,mercedes,32980
A Class,2019,Semi-Auto,9085,Petrol,145.0,53.3,1.3,mercedes,21399
Up,2019,Manual,9999,Petrol,145.0,54.3,1.0,vw,10355
Tiguan,2019,Semi-Auto,4499,Diesel,145.0,45.6,2.0,vw,28814
Q3,2017,Automatic,22130,Petrol,145.0,47.9,1.4,audi,19500
Yaris,2016,Automatic,69588,Hybrid,0.0,86.0,1.5,toyota,9991
Fiesta,2017,Manual,39719,Petrol,0.0,65.7,1.0,ford,7491
C Class,2019,Automatic,2407,Diesel,,,2.0,mercedes,28904
Golf,2016,Semi-Auto,21269,Diesel,125.0,56.5,2.0,vw,16491
C Class,2019,Automatic,6542,Diesel,145.0,61.4,2.0,mercedes,29990
2 Series,2015,Automatic,24322,Petrol,125.0,50.4,2.0,bmw,14145
Aygo,2017,Manual,12590,Petrol,145.0,68.9,1.0,toyota,7500
Focus,2015,Semi-Auto,48895,Petrol,,,1.6,ford,8000
C-HR,2017,Automatic,29626,Petrol,145.0,44.8,1.2,toyota,17990
I10,2019,Manual,16709,Petrol,145.0,57.6,1.2,hyundai,9970
Focus,2016,Manual,24664,Petrol,20.0,61.4,1.0,ford,9995
1 Series,2014,Manual,40175,Diesel,30.0,65.7,2.0,bmw,9037
Focus,2017,Manual,13813,Petrol,145.0,41.5,2.0,ford,18300
B-MAX,2013,Manual,18143,Petrol,145.0,47.1,1.4,ford,6598
T-Roc,2018,Manual,13996,Petrol,145.0,55.4,1.0,vw,16995
A Class,2017,Manual,17930,Diesel,145.0,68.9,1.5,mercedes,16099
CL Class,2017,Semi-Auto,28650,Diesel,20.0,67.3,2.1,mercedes,18822
Corsa,2017,Manual,30653,Petrol,30.0,54.3,1.4,vauxhall,6999
3 Series,2015,Manual,31468,Diesel,30.0,61.4,2.0,bmw,15495
C-HR,2018,Automatic,8913,Hybrid,135.0,74.3,1.8,toyota,23495
Kuga,2019,Manual,740,Diesel,145.0,54.3,1.5,ford,18890
Golf,2017,Manual,10841,Petrol,145.0,56.5,1.0,vw,13300
C Class,2016,Manual,11638,Diesel,20.0,70.6,2.1,mercedes,14499
Astra,2016,Manual,24000,Petrol,125.0,51.4,1.4,vauxhall,7995
Corolla,2019,Manual,6597,Petrol,145.0,39.2,1.2,toyota,18700
S Class,2018,Automatic,2499,Petrol,145.0,34.0,4.0,mercedes,79989
Mokka,2015,Manual,40362,Petrol,160.0,44.8,1.4,vauxhall,7998
X3,2019,Automatic,7439,Diesel,145.0,36.7,3.0,bmw,40980
E Class,2015,Automatic,27986,Diesel,125.0,57.7,2.2,mercedes,14995
Astra,2016,Manual,52996,Diesel,0.0,83.1,1.6,vauxhall,7399
Astra,2017,Manual,38259,Petrol,125.0,51.4,1.4,vauxhall,9295
A6,2019,Automatic,1500,Diesel,145.0,36.2,3.0,audi,43695
A1,2017,Manual,14000,Petrol,145.0,67.3,1.0,audi,12900
Focus,2019,Automatic,10690,Diesel,145.0,54.3,1.5,ford,18990
Focus,2018,Manual,14991,Petrol,,,1.0,ford,11490
1 Series,2019,Manual,5846,Petrol,145.0,41.5,1.5,bmw,24990
Citigo,2015,Manual,25297,Petrol,20.0,62.8,1.0,skoda,6210
Kuga,2019,Manual,3637,Diesel,145.0,39.2,2.0,ford,21000
Z4,2020,Semi-Auto,10,Petrol,145.0,38.7,2.0,bmw,30990
Kona,2019,Manual,15139,Petrol,150.0,44.1,1.0,hyundai,14600
Fiesta,2018,Automatic,7047,Petrol,145.0,48.7,1.0,ford,12500
1 Series,2017,Semi-Auto,47110,Diesel,0.0,78.5,1.5,bmw,11498
A Class,2020,Semi-Auto,1000,Diesel,145.0,62.8,1.5,mercedes,24889
Golf,2019,Manual,6419,Petrol,145.0,49.6,1.0,vw,14899
Fiesta,2015,Semi-Auto,47560,Petrol,145.0,47.9,1.6,ford,7250
A1,2015,Manual,31851,Petrol,30.0,56.5,1.4,audi,12822
Focus,2018,Manual,15071,Diesel,145.0,74.3,1.5,ford,12000
Focus,2018,Manual,15918,Petrol,,,1.0,ford,15000
E Class,2017,Semi-Auto,43201,Diesel,20.0,72.4,2.0,mercedes,18799
Astra,2016,Manual,67289,Diesel,0.0,74.3,1.6,vauxhall,8749
A3,2017,Manual,19365,Petrol,20.0,60.1,1.4,audi,16000
3 Series,2015,Semi-Auto,79978,Diesel,160.0,51.4,3.0,bmw,15541
Q3,2017,Manual,33600,Diesel,145.0,61.4,2.0,audi,17649
Corsa,2015,Manual,32746,Petrol,30.0,55.4,1.4,vauxhall,7390
Octavia,2017,Automatic,25926,Petrol,145.0,57.7,1.4,skoda,12100
A3,2016,Semi-Auto,11881,Petrol,30.0,56.5,1.4,audi,20112
Fiesta,2019,Manual,1637,Petrol,145.0,56.5,1.0,ford,14990
Focus,2018,Manual,23335,Petrol,,,2.0,ford,18998
Passat,2018,Automatic,8848,Hybrid,135.0,166.0,1.4,vw,25000
4 Series,2017,Automatic,27846,Diesel,160.0,49.6,3.0,bmw,19800
CL Class,2019,Automatic,1200,Petrol,145.0,45.6,1.3,mercedes,27590
Octavia,2016,Manual,29083,Petrol,30.0,55.4,1.4,skoda,9990
Golf,2016,Manual,75151,Petrol,30.0,53.3,1.4,vw,7999
Focus,2017,Manual,15337,Diesel,,,1.5,ford,10689
Q3,2019,Automatic,4000,Petrol,145.0,32.1,2.0,audi,35750
Octavia,2019,Semi-Auto,3322,Petrol,150.0,57.7,1.0,skoda,15495
Focus,2018,Manual,7687,Petrol,,,1.0,ford,16950
C-HR,2016,Automatic,20262,Hybrid,0.0,74.3,1.8,toyota,20495
Focus,2019,Manual,12814,Diesel,,,1.5,ford,15990
Zafira,2017,Manual,32898,Petrol,145.0,41.5,1.4,vauxhall,10050
Focus,2019,Manual,1981,Petrol,145.0,60.1,1.0,ford,17520
Focus,2019,Manual,3546,Petrol,145.0,49.6,1.0,ford,17940
Focus,2019,Manual,1523,Petrol,,,1.0,ford,18520
Corsa,2016,Manual,35367,Petrol,125.0,53.3,1.2,vauxhall,5790
Sharan,2014,Semi-Auto,64024,Diesel,165.0,49.6,2.0,vw,10891
Polo,2017,Semi-Auto,20454,Petrol,150.0,50.4,1.8,vw,15990
I10,2017,Manual,30367,Petrol,145.0,57.7,1.2,hyundai,7000
Superb,2019,Semi-Auto,11215,Petrol,150.0,38.2,2.0,skoda,25490
Corsa,2017,Manual,21845,Petrol,150.0,55.4,1.4,vauxhall,6790
A4,2019,Semi-Auto,476,Petrol,145.0,39.2,2.0,audi,26985
T-Roc,2020,Semi-Auto,3000,Petrol,145.0,34.5,2.0,vw,31850
Focus,2017,Manual,19086,Petrol,20.0,61.4,1.0,ford,10500
Fiesta,2017,Manual,23804,Petrol,145.0,65.7,1.0,ford,9000
Astra,2018,Manual,24125,Petrol,145.0,51.4,1.4,vauxhall,11495
Focus,2017,Manual,19239,Diesel,0.0,74.3,1.5,ford,11000
RAV4,2017,Automatic,42596,Hybrid,20.0,57.6,2.5,toyota,19862
Q5,2019,Automatic,4567,Diesel,145.0,38.2,2.0,audi,31496
Focus,2019,Manual,16000,Petrol,150.0,58.9,1.0,ford,14980
GLC Class,2019,Semi-Auto,4557,Diesel,150.0,44.8,2.0,mercedes,35162
A1,2017,Manual,19268,Petrol,150.0,67.3,1.0,audi,11700
Vectra,2007,Manual,75000,Petrol,240.0,39.2,1.8,vauxhall,1795
E Class,2019,Semi-Auto,1000,Diesel,145.0,57.7,2.0,mercedes,38509
C Class,2019,Automatic,4999,Diesel,,,2.0,mercedes,30450
I20,2019,Manual,12545,Petrol,145.0,46.3,1.2,hyundai,9890
C Class,2019,Semi-Auto,9026,Petrol,,,3.0,mercedes,44399
A Class,2019,Semi-Auto,16,Petrol,145.0,28.5,2.0,mercedes,26980
Kona,2019,Manual,5034,Petrol,145.0,44.1,1.0,hyundai,14298
Polo,2017,Semi-Auto,24186,Petrol,20.0,61.4,1.4,vw,14121
I20,2019,Manual,310,Petrol,145.0,46.3,1.2,hyundai,12490
A3,2016,Manual,40264,Petrol,125.0,52.3,1.4,audi,13700
X6,2019,Automatic,5980,Diesel,145.0,34.9,3.0,bmw,56290
A6,2016,Manual,13467,Diesel,30.0,61.4,2.0,audi,18495
